ID,QuestionText,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectAnswer
19,リンゴの分配。\nカゴに3個のリンゴ。\n3人に1個ずつあげたのに\nカゴに1個残った。\nなぜ？,カゴごと,予備,手品,幻覚,A
20,船のハシゴ。\n海面から出ている。\n潮は毎時30cm満ちる。\nハシゴが3段（90cm）\n沈む時間は？,3時間,1時間,沈まない,永遠,C
21,落下の痛み。\n鉄1kgと綿1kg。\n2階から足の甲に\n落とすとして\nより痛いのは？,鉄,綿,同じ,鉄の角,D
22,確率の罠。\nコインを投げて\n5回連続「表」。\n次も「表」が出る\n確率は？,下がる,上がる,1/2,変わる,C
23,消えた100円。\n3人で3000円払い\n店が500円返す。\n200円ネコババ\n100円ずつ返却。\n残りはどこ？,消えた,計算の罠,ネコババ,ない,B
24,水槽の魚。\n密閉された水槽に\n10匹の魚。\n2匹死んで沈んだ。\n水槽の中には\n何匹いる？,8匹,10匹,0匹,汚染,B
25,見えないドア。\n日本国内のバス。\n左に走っている時\n歩道側の人が\nドアは見えない。,運転席側,地下鉄,夜だから,窓がない,A
26,薬の時間。\n「1時間ごとに\n飲んでください」。\n3錠飲み切るのに\nかかる時間は？,3時間,2時間,1.5時間,4時間,B
27,コピー機の謎。\n「等倍（1倍）」の紙を\n「2倍」に拡大すると\n面積は何倍になる？,2倍,3倍,4倍,1.41倍,C
28,クマの色。\n家から南へ1km\n東へ1km\n北へ1kmで帰宅。\nそこにいたクマは？,茶色,黒,白,いない,C
29,幻のホームラン。\nノーアウト満塁\nサヨナラホームラン！\nしかし得点は\n入らなかった。,ファウル,走者を抜く,夢オチ,女子野球,B
30,月面の変化。\n体重60kgの男が\n月に行った。\n絶対に\n変わらないものは？,質量,体重,体積,身長,A
31,料理時間。\nゆで卵1個に5分。\n10個同時に\n大きな鍋で作ったら\n何分かかる？,50分,10分,5分,変わる,C
32,睡蓮の増殖。\n毎日2倍に増え\n30日で池を覆う。\n「半分」が覆われるのは\n何日目？,15日,29日,25日,28日,B
33,5月の言葉。\n5月（May）には無いが\n5月（ごがつ）には\n有るもの。\nこれ何？,鯉のぼり,GW,母の日,濁点,D
34,"駐車場の番号。\n「16■ 06■ 68■ 88」\n「?■ 98」\nこの「?」に\n停まっている車は？",87,86,L8,78,A
35,新幹線と風船。\n時速200kmで北へ。\n屋根で風船を\n手放した。\nどっちへ飛ぶ？,南,北,後ろ,破裂する,C
36,兄弟の年齢。\n兄は4歳\n弟は兄の半分（2歳）。\n兄が100歳の時\n弟は何歳？,50歳,98歳,99歳,25歳,B
37,不思議な計算。\n「5たす5は2」\n「9たす4は1」\nでは「11たす4」は？\n（壁にある物）,15,12,3,1,C
38,透明人間の正体。\n頭も体も透明だが\n光を当てると\n一瞬だけ姿（影）を\n現すもの。,幽霊,ガラス,影,水,C
39,"弁護士の鎌。\n「今■ 奥さんが\n入ってきますよ」\n被告は振り返った。\n有罪の決め手は？",自白,凶器,見なかった,指紋,C
40,紙折りの挑戦。\n0.1mmの紙。\n何回折れば\n富士山を超える？\n（理論上）,25回,42回,100回,無理,A
41,テニスの勝敗。\nA君は3勝0敗。\nB君は全勝。\nどういう状況？,棄権,ペアだった,夢,八百長,B
42,ろうそくの行方。\n8本中3本消えた。\n窓を閉めて風を止めた。\n最後まで\n残っているのは？,5本,3本,8本,0本,B
43,氷と水位。\n水に浮かんだ氷が\n溶けきった時\nコップの水位は\nどうなる？,上がる,下がる,変わらない,溢れる,C
44,じゃんけん。\n「私に負けて」と\n頼まれた。\n相手はグー。\nあなたは何を出す？,グー,チョキ,パー,出さない,B
45,慣性の法則。\nトラックが急ブレーキ\n荷台の荷物は\nどう動く？,前,後ろ,右,左,A
46,真空トンネル。\n空気のないトンネル。\n電車が入る時\n汽笛が聞こえる確率は？,100%,50%,0%,運転手次第,C
47,濡れない男たち。\n5人の男が\n傘なしで歩くが\n誰も濡れていない。\nなぜ？,雨じゃない,走った,地下道,全員ハゲ,A
48,辞書の順番。\n「昨日、今日、明日」\n辞書で引くと\n最初はどれ？,昨日,今日,明日,同じ,C
49,究極の食事。\n死刑囚が選んだ\n「絶対に死なない」\n最後の食事は？,毒キノコ,フグ,パン,解毒剤,D
50,"計算の崩壊。\n「100 - 1 = 0」\nこれが成立する\n場所はどこ？",数学界,ゴミ箱,100均,スーパー,B
51,北極点の方角。\n北極点で「南」を向く。\nあなたの左手は\n何の方角？,東,西,南,北,C
52,両替の被害者。\n一万円札100枚を\n全部1円玉に両替。\n銀行より先に\n誰が困る？,店員,財布,強盗,金庫,B
53,シケモク再生。\n吸い殻3本で1本。\n吸い殻が10本ある。\n最大何本吸える？,3本,4本,5本,3.3本,C
54,兄弟の人数。\n「兄には弟が2人\n弟には兄が2人」\nこの兄弟は\n最低何人？,2人,3人,4人,5人,B
55,井戸の脱出。\n深さ10m。\n昼3m登り夜2m滑る。\n外に出られるのは\n何日目？,10日,8日,7日,永遠,B
56,トランプの予言。\nジョーカー除く52枚。\n10回連続ハート。\n次は？,ハート,ダイヤ,スペード,不明,D
57,毒入りコップ。\n右を飲めば死ぬ\n左も死ぬ。\n生き残る方法は？,混ぜる,飲まない,両方飲む,蒸留する,B
58,砂漠の死体。\n背中には\n「開いていない\nパラシュート」。\n死因は？,餓死,渇き,墜落死,毒,C
59,完全犯罪。\n鋭利な「水」の塊で\n殺害し、消えた。\n凶器は何？,ドライアイス,氷,水銀,ガラス,B
60,無限ホテル。\n満室のホテルに客。\n「全員1号室ずつ\nズレれば泊まれます」。\n部屋数は？,100,1万,無限,0,C
61,切手のダース。\n12枚の切手がある。\n「1ダース」と呼ぶのに\nあと何枚必要？,0枚,1枚,12枚,6枚,A
62,鏡文字。\n鏡に映しても\n左右が変わらない\n文字はどれ？,L,S,R,A,D
63,ヤシの実。\n男が一人、木の上に実。\n登らず、道具も使わず\n落とす方法は？,揺らす,蹴る,待つ,念力,C
64,テストの平均。\n前回0点。今回も0点。\n2回の平均点は\nどうなった？,0点,50点,100点,変わらない,A
65,黒い犬。\n真っ暗な夜道。\n黒い服、黒い犬。\nでも車は止まれた。\nなぜ？,ライト,昼間,吠えた,超能力,B
66,満員電車。\n定員50人に100人。\n誰も苦しくない。\nなぜ？,子供,幽霊,模型,ガリガリ,C
67,漢字の手術。\n「大」きい人が\n手術（一画追加）して\n別人になった。,太った,犬,天ぷら,他人,D
68,エレベーター算。\n地下2階から\n7階分上昇した。\n今どこ？,5階,6階,4階,地上,A
69,氷の実験。\n水に入れると浮く。\nアルコールに\n入れると？,浮く,沈む,溶ける,爆発,B
70,煙の行方。\n北風が吹いている。\n南へ走る\n電気機関車の煙は？,南,北,真上,ない,D
71,雨の帰宅。\n傘なしで帰宅。\n髪は濡れていない。\nなぜ？,走った,止んでた,ハゲ,車,C
72,理髪店の選択。\n髪がボサボサの店主A\n髪が整った店主B\nどっちに頼む？,A,B,両方嫌,自分で,A
73,暗算の罠。\n1000に40足す。\n1000足す。30足す。\n1000足す。20足す。\n1000足す。10足す。,5000,4100,4090,6000,B
74,嘘つきのパラドクス。\n「私は嘘つきだ」\nと言えるのは誰？,正直者,嘘つき,不可,詐欺師,C
75,視界の謎。\n片目を隠すと\n「右」が見えた。\n両目で見ると？,立体,左,右,何も,C
76,1+1=1の世界。\n「1たす1が1」\n「1たす2も1」\n何の計算？,時間,重さ,液体,距離,C
77,文字の隙間。\n「A、B、C、D、E」\nDとEの間に\nあるものは？,点,線,空気,「と」,D
78,タクシーの謎。\n反対車線の空車に\n手を挙げたら\n止まってくれた。,親切,Uターン,歩行者,空車×,C
79,睡眠時間。\n夜9時に寝て\n翌朝10時にセット。\n（アナログ時計）\n何時間寝れる？,13時間,1時間,11時間,0時間,B
80,月の石。\n地球に持ち帰ると\n重さはどうなる？,重くなる,軽くなる,光る,消える,A
81,矛盾対決。\n「壊れない盾」\n「全てを貫く矛」\n突き合わせると？,盾勝つ,矛勝つ,矛盾,消滅,C
82,曜日の混乱。\n「昨日が明日なら\n今日は土曜なのに」\n本当の今日は？,日曜,月曜,金曜,木曜,B
83,ダイエット。\n食べるだけで\n痩せていく\n「しょく」は？,和食,断食,間食,洋食,B
84,パン屋。\nパンを食べる時\n必ず取るものは？,お金,味見,帽子,トング,C
85,マラソン。\n「ビリから2番目」\nを追い抜いた。\n今何位？,ビリ,1位,2位,ビリ2,D
86,機内の風船。\n加速中の機内で\n風船を手放すと\nどう動く？,前へ,後ろへ,上へ,割れる,A
87,サバイバル。\n無人島に一つだけ。\n一番長く\n生きられるのは？,水,食料,ナイフ,知識,D
88,密室の死体。\n首吊り死体。\n足元に水たまり。\n踏み台はない。,ロープ,氷,ジャンプ,他殺,B
89,宝くじ。\n「123456」と\n「バラバラの数字」。\n当たりやすいのは？,バラバラ,連番,同じ,運次第,C
90,会話の誘導。\n相手が絶対に\n「いいえ」としか\n言えない質問。,元気？,起きてる,寝てる？,帰る？,C
91,液体の判別。\n食塩水と真水。\n舐めずに道具で\n見分ける方法は？,凍らせる,卵浮かす,振る,色,B
92,逆さ言葉。\n「新聞紙」は\n「しんぶんし」。\n「津波」は？,みなつ,ゴミ,災害,言葉,B
93,方角の謎。\n右手が北なら\n背中側は？,東,西,南,北,C
94,数字の数。\n1から100までに\n「9」は何回\n出てくる？,10回,11回,19回,20回,D
95,論理パズル。\nA「Bは嘘つき」\nB「Cは嘘つき」\nC「AとBは嘘つき」\n正直者は？,A,B,C,いない,B
96,家系図。\n「私に兄弟なし。\nこの男の父は\n私の父の息子」\n絵の男は？,私,父,息子,孫,C
97,燃焼時間。\n1時間で燃え尽きる\n導火線2本で\n「45分」を計れ。,切る,3点着火,3本,時計,B
98,カメとアキレス。\nカメがいる限り\n追いつけないという\n理屈の名前は？,ゼノン,亀勝ち,物理,嘘,A
99,方角なし。\n北極点で\n「南」を向いた。\n後ろはどの方角？,東,西,南,北,D
100,最後の問題。\nここまで解いて\n一番使ったのは？,知識,運,目,脳,D
