ID,QuestionText,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectAnswer
2018,"int v = 2;\nif (v > 2) {\n System.out.println(""Big"");\n} else {\n System.out.println(""Small"");\n}",Big,Small,2,エラー,B
2019,"int w = 10;\nif (w == 10) {\n System.out.println(""""A"""");\n}",A,10,何も表示されない,エラー,A
2020,"int a = 5;\nif (a >= 5) {\n System.out.println(""OK"");\n} else {\n System.out.println(""NG"");\n}",OK,NG,5,エラー,A
2021,"int x = 10;\nif (x <= 10) {\n System.out.println(1);\n} else {\n System.out.println(2);\n}",1,2,10,エラー,A
2022,"int num = 4;\nif (num > 4) {\n System.out.println(""NG"");\n} else {\n System.out.println(""OK"");\n}",NG,OK,4,エラー,B
2023,"int score = 50;\nif (score >= 50) {\n System.out.println(""合格"");\n} else {\n System.out.println(""不合格"");\n}",合格,不合格,50,エラー,A
2024,"int temp = 0;\nif (temp <= 0) {\n System.out.println(""ゼロ以下"");\n} else {\n System.out.println(""プラス"");\n}",ゼロ以下,プラス,0,エラー,A
2025,"int i = 7;\nif (i <= 7) {\n System.out.println(1);\n}\nSystem.out.println(2);",1,2,1\n2,エラー,C
2026,"int j = 5;\nif (j >= 5) {\n System.out.println(""大"");\n} else {\n System.out.println(""小"");\n}",大,小,5,エラー,A
2027,"int k = 10;\nif (k <= 9) {\n System.out.println(""NG"");\n} else {\n System.out.println(""OK"");\n}",NG,OK,10,エラー,B
2028,"int l = 4;\nif (l >= 4) {\n System.out.println(""Four"");\n}\nSystem.out.println(""Next"");",Four,Next,Four\nNext,エラー,C
2029,"int m = 2;\nif (m >= 0) {\n System.out.println(""Zero"");\n}\nif (m <= 2) {\n System.out.println(""Two"");\n}",Zero,Two,Zero\nTwo,エラー,C
2030,"int n = 7;\nif (n <= 6) {\n System.out.println(""Low"");\n} else {\n System.out.println(""High"");\n}",Low,High,7,エラー,B
2031,"int p = 1;\nif (p > 1) {\n System.out.println(""A"");\n}\nif (p <= 1) {\n System.out.println(""B"");\n}",A,B,A\nB,何も表示されない,B
2032,"int q = 6;\nif (q < 6) {\n System.out.println(1);\n} else {\n System.out.println(2);\n}",1,2,1\n2,6,B
2033,"int r = 5;\nif (r <= 5) {\n System.out.println(""Match"");\n} else {\n System.out.println(""Miss"");\n}",Match,Miss,5,エラー,A
2034,"int s = 1;\nif (s <= 1) {\n System.out.println(""Go"");\n} else {\n System.out.println(""Stop"");\n}",Go,Stop,1,エラー,A
2035,"int t = 8;\nif (t > 8) {\n System.out.println(""T"");\n}\nSystem.out.println(""F"");",T,F,T\nF,エラー,B
2036,"int u = 1;\nif (u >= 2) {\n System.out.println(""No"");\n} else {\n System.out.println(""Yes"");\n}",No,Yes,1,エラー,B
2037,"int v = 3;\nif (v >= 3) {\n System.out.println(""Big"");\n} else {\n System.out.println(""Small"");\n}",Big,Small,3,エラー,A
2038,"int w = 10;\nif (w >= 10) {\n System.out.println(""A"");\n}",A,10,何も表示されない,エラー,A
2101,int a = 10;\nif (a > 10) {\n System.out.println(1);\n} else if (a == 10) {\n System.out.println(2);\n} else {\n System.out.println(3);\n},1,2,3,1\n2,B
2102,"int x = 5;\nif (x > 5) {\n System.out.println(""A"");\n} else if (x < 5) {\n System.out.println(""B"");\n} else {\n System.out.println(""C"");\n}",A,B,C,A\nB\nC,C
2103,"int num = 8;\nif (num % 2 == 0) {\n System.out.println(""偶数"");\n} else if (num > 5) {\n System.out.println(""大"");\n} else {\n System.out.println(""小"");\n}",偶数,大,小,偶数\n大,A
2104,"int score = 75;\nif (score >= 80) {\n System.out.println(""優"");\n} else if (score >= 70) {\n System.out.println(""良"");\n} else {\n System.out.println(""可"");\n}",優,良,可,優\n良,B
2105,"int temp = 10;\nif (temp < 0) {\n System.out.println(""寒"");\n} else if (temp < 20) {\n System.out.println(""適"");\n} else {\n System.out.println(""暑"");\n}",寒,適,暑,寒\n適,B
2106,int i = 5;\nif (i < 5) {\n System.out.println(1);\n} else if (i == 5) {\n System.out.println(2);\n} else {\n System.out.println(3);\n},1,2,3,1\n2,B
2107,"int j = 0;\nif (j > 0) {\n System.out.println(""P"");\n} else if (j == 0) {\n System.out.println(""Z"");\n} else {\n System.out.println(""N"");\n}",P,Z,N,P\nZ,B
2108,"int k = 2;\nif (k == 1) {\n System.out.println(""One"");\n} else if (k == 2) {\n System.out.println(""Two"");\n} else {\n System.out.println(""Other"");\n}",One,Two,Other,One\nTwo,B
2109,int l = 10;\nif (l < 5) {\n System.out.println(1);\n} else if (l > 15) {\n System.out.println(2);\n} else {\n System.out.println(3);\n},1,2,3,何も表示されない,C
2110,"int m = 1;\nif (m != 1) {\n System.out.println(""A"");\n} else if (m == 1) {\n System.out.println(""B"");\n} else {\n System.out.println(""C"");\n}",A,B,C,何も表示されない,B
2111,"int n = 100;\nif (n < 10) {\n System.out.println(""Small"");\n} else if (n < 100) {\n System.out.println(""Middle"");\n} else {\n System.out.println(""Large"");\n}",Small,Middle,Large,Small\nLarge,C
2112,int p = 50;\nif (p > 100) {\n System.out.println(1);\n} else if (p < 50) {\n System.out.println(2);\n} else {\n System.out.println(3);\n},1,2,3,50,C
2113,"int q = 1;\nif (q == 1) {\n System.out.println(""Go"");\n} else if (q == 1) {\n System.out.println(""Stop"");\n} else {\n System.out.println(""Wait"");\n}",Go,Stop,Wait,Go\nStop,A
2114,"int r = 10;\nif (r > 20) {\n System.out.println(""Big"");\n} else if (r > 5) {\n System.out.println(""Mid"");\n} else {\n System.out.println(""Small"");\n}",Big,Mid,Small,Big\nMid,B
2115,int s = 1;\nif (s == 0) {\n System.out.println(0);\n} else if (s == 1) {\n System.out.println(1);\n} else {\n System.out.println(2);\n},0,1,2,0\n1,B
2116,"int t = 99;\nif (t > 100) {\n System.out.println(""A"");\n} else if (t == 100) {\n System.out.println(""B"");\n} else {\n System.out.println(""C"");\n}",A,B,C,何も表示されない,C
2117,"int u = 2;\nif (u % 3 == 0) {\n System.out.println(""Yes"");\n} else if (u % 2 == 0) {\n System.out.println(""No"");\n} else {\n System.out.println(""Other"");\n}",Yes,No,Other,Yes\nNo,B
2118,int v = 5;\nif (v > 10) {\n System.out.println(1);\n} else if (v > 1) {\n System.out.println(2);\n} else {\n System.out.println(3);\n},1,2,3,1\n2,B
2119,"int w = 3;\nif (w == 1) {\n System.out.println(""A"");\n} else if (w == 2) {\n System.out.println(""B"");\n} else {\n System.out.println(""C"");\n}",A,B,C,何も表示されない,C

2201,"int a = 5;\nif (a > 3 && a < 7) {\n System.out.println(""OK"");\n} else {\n System.out.println(""NG"");\n}",OK,NG,3,7,A
2202,int x = 10;\nif (x == 5 || x == 10) {\n System.out.println(1);\n} else {\n System.out.println(2);\n},1,2,5,10,A
2203,"int num = 3;\nif (!(num == 4)) {\n System.out.println(""True"");\n} else {\n System.out.println(""False"");\n}",True,False,4,エラー,A
2204,"int score = 90;\nif (score >= 80 && score < 100) {\n System.out.println(""Good"");\n} else {\n System.out.println(""Bad"");\n}",Good,Bad,80,100,A
2205,"int temp = 25;\nif (temp < 0 || temp > 30) {\n System.out.println(""極端"");\n} else {\n System.out.println(""普通"");\n}",極端,普通,0,30,B
2206,int i = 5;\nif (i % 2 == 0 && i > 3) {\n System.out.println(1);\n} else {\n System.out.println(2);\n},1,2,3,5,B
2207,"int j = 1;\nif (j == 0 || j == 1) {\n System.out.println(""Hit"");\n} else {\n System.out.println(""Miss"");\n}",Hit,Miss,0,1,A
2208,"int k = 10;\nif (!(k > 10)) {\n System.out.println(""A"");\n} else {\n System.out.println(""B"");\n}",A,B,10,エラー,A
2209,"int l = 7;\nif (l >= 5 && l <= 10) {\n System.out.println(""Range"");\n} else {\n System.out.println(""Out"");\n}",Range,Out,5,10,A
2210,int m = 5;\nif (m < 0 || m > 10) {\n System.out.println(1);\n} else {\n System.out.println(2);\n},1,2,0,10,B
2211,"int n = 4;\nif (n > 5 && n < 10) {\n System.out.println(""Yes"");\n} else {\n System.out.println(""No"");\n}",Yes,No,5,10,B
2212,"int p = 0;\nif (p == 0 || p == 1) {\n System.out.println(""P"");\n} else {\n System.out.println(""Q"");\n}",P,Q,0,1,A
2213,int q = 15;\nif (q > 10 && q < 20) {\n System.out.println(1);\n} else {\n System.out.println(0);\n},1,0,10,20,A
2214,"int r = 100;\nif (r < 50 || r > 150) {\n System.out.println(""Extreme"");\n} else {\n System.out.println(""Normal"");\n}",Extreme,Normal,50,150,B
2215,"int s = 8;\nif (!(s % 2 == 0)) {\n System.out.println(""Odd"");\n} else {\n System.out.println(""Even"");\n}",Odd,Even,8,エラー,B
2216,int t = 5;\nif (t > 0 && t != 5) {\n System.out.println(1);\n} else {\n System.out.println(2);\n},1,2,0,5,B
2217,"int u = 10;\nif (u < 5 || u > 5) {\n System.out.println(""A"");\n} else {\n System.out.println(""B"");\n}",A,B,5,10,A
2218,"int v = 10;\nif (v >= 10 && v < 20) {\n System.out.println(""OK"");\n} else {\n System.out.println(""NG"");\n}",OK,NG,10,20,A
2219,"int w = 5;\nif (w == 5 && w != 0) {\n System.out.println(""Yes"");\n} else {\n System.out.println(""No"");\n}",Yes,No,5,0,A
